단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
006400,KR7006400006,삼성SDI,ST,1.0,0,13,0,Y,N,N,5,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,546000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,155669,5000,19790227,68764,348472650000,12.0,,0,,N,Y,Y,40494,3223,4539,3627,9.55,20220331.0,375454,511,N,N,Y
006405,KR7006401004,삼성SDI우,ST,0.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,283500,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1703,5000,19891124,1617,8239480000,12.0,,1,,N,N,N,0,0,0,0,0.0,,4586,,N,N,N
006490,KR7006490007,인스코비,ST,3.0,0,20,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2180,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,308135,500,19850117,109889,54944668500,12.0,,0,,N,N,Y,176,3,1,1,0.92,20220331.0,2395,,N,N,N
006570,KR7006570006,대림통상,ST,3.0,0,12,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3480,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,5544,1000,19751120,15225,16425000000,12.0,,0,,N,N,Y,422,19,14,12,6.07,20220331.0,529,,N,N,N
006650,KR7006650006,대한유화,ST,2.0,0,8,0,Y,N,N,4,N,N,Y,,N,N,N,N,N,N,N,Y,N,0,N,N,,N,N,N,N,N,123500,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,27631,5000,19990811,6500,41000000000,12.0,,0,,N,Y,Y,6937,-22,25,25,0.49,20220331.0,8027,,N,N,Y
006660,KR7006660005,삼성공조,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,10800,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,7301,500,19871128,8126,4063157000,12.0,,0,,N,N,Y,213,5,46,39,6.95,20220331.0,877,,N,N,N
006740,KR7006740005,영풍제지,ST,3.0,0,7,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,6910,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,86964,500,19960703,22200,11100000000,12.0,,0,,N,N,Y,282,20,20,15,4.64,20220331.0,1534,,N,N,N
006800,KR7006800007,미래에셋증권,ST,1.0,0,21,24,N,N,Y,6,Y,N,Y,,N,Y,N,N,N,N,N,N,N,0,N,N,,Y,N,N,N,Y,6440,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,2300753,5000,19750930,615316,3331582040000,12.0,,0,,N,Y,Y,52569,2847,2726,1971,7.38,20220331.0,39626,FB2,N,N,Y
006805,KR7006801005,미래에셋증권우,ST,0.0,0,21,24,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,4470,1,1,N,N,N,0,N,N,N,0,0,0,50,N,90,16665,5000,19890408,14075,70378750000,12.0,,1,,N,N,N,0,0,0,0,0.0,,629,,N,N,N
00680K,KR700680K019,미래에셋증권2우B,ST,0.0,0,21,24,N,N,,0,N,N,N,,N,N,,,,,N,,,0,,,,,,,,,3825,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,267101,5000,20180314,140000,700000000000,12.0,,2,,N,N,N,0,0,0,0,0.0,,5355,,N,N,N
006840,KR7006840003,AK홀딩스,ST,3.0,0,21,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,Y,N,0,N,N,,N,N,N,N,N,15900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13677,5000,19990811,13247,66237805000,12.0,,0,,N,N,Y,8198,-464,-590,-480,-15.78,20220331.0,2106,,N,N,N
